,Traj_1,Traj_2,Coupled_1,Coupled_2
0.9,1.1212854575355664,0.8959443212642628,1.0780243799561195,1.0780278512299353
0.91,1.1188691093250673,0.8959443212642628,0.9442632382184641,0.919140135206454
0.92,1.1188691093250673,0.8959443212642628,0.9553329347954562,0.8720625138720854
0.93,1.089779603324416,0.8959443212642628,1.0862437914781908,1.0862445561317635
0.94,1.1188691093250673,0.8959443212642628,0.9744398789793172,0.9652770898926812
0.95,1.1188691093250673,0.8959443212642628,0.756805737502673,0.803440107435688
0.96,1.045638550468307,0.8959443212642628,0.9466583993231835,0.8406552791917946
0.97,1.1188691093250673,0.8959443212642628,0.10585495757550951,0.08853365615090408
0.98,1.1188691093250673,0.8959443212642628,0.0031919307851864627,-0.0045224606394669185
0.99,1.1311506267942382,0.8959443212642628,0.11486240771493206,0.11401000106783822
1.0,1.1188691093250673,0.8959443212642628,0.20335165465328423,0.16540026961220156
