,RMSE,NRMSE,MAPE
0.05,0.17948271916160324,0.01245366243666311,0.004826651392687764
0.1,0.14733437112283282,0.010048732756011536,0.004019735442746608
0.15,0.16203275549529328,0.011089100166816308,0.004322176429472907
0.2,0.12360024464151304,0.008860690453017536,0.003594536655651945
0.25,0.1481854042734913,0.015259768284275728,0.004452805440069815
0.30,0.1350689981102821,0.012645192985297555,0.0034714159262011993
0.35,0.15076450710473138,0.011082508680028013,0.005561464038103243
0.4,0.5059053778999337,0.03576901342015748,0.010728461926323762
0.45,1.3513119554458555,0.10188495589757433,0.03225134515221641
0.5,1.7862372335833805,0.14816337816581912,0.05064629249669328
0.55,0.5732255102836109,0.05893606054081172,0.018117570289748065
0.60,2.218048986500767,0.15896239096615575,0.056154986750937316
0.65,0.7158615392089889,0.05287213412520071,0.02174747432188447
0.70,2.2779651810220076,0.1581913466036623,0.059857656634926544
0.75,0.9552211488472431,0.06457872286587168,0.022063472637351707
0.8,0.7616277226118097,0.05261664699339347,0.022001124611618232
0.85,13.61959360947169,0.9281189705099251,0.3583433793155536
0.9,18.544514371433777,1.2317449300852803,0.6683747028878804
0.95,24.227434048482618,1.6327947090636545,0.8692042960314795
1.0,45.11216669170224,4.4904549077743106,1.6423210584870849
