,RMSE,NRMSE,MAPE
0.05,1.04119336930999,0.0820511207784844,0.026691811851613016
0.1,0.9156489223738894,0.07627410362628333,0.024194249312916895
0.15,0.3396590932872542,0.03180045797024933,0.010293475233308369
0.2,0.7065963214155235,0.048298679529084704,0.02080748801962262
0.25,0.600962256107624,0.051041676348868734,0.017284292701363044
0.30,0.6804732303595937,0.04731658888625847,0.017660420351847773
0.35,0.5171948566235193,0.03477584839569243,0.012251414205041191
0.4,0.4520942840608882,0.03257907389518261,0.011192447817629275
0.45,0.605360394787035,0.055915557583094466,0.014959575922147937
0.5,0.4271494183764795,0.0371949927047336,0.012625567357851381
0.55,0.36994091126500095,0.035903739995226884,0.00895297952857955
0.60,1.278768066040604,0.09544145919127708,0.030805273979021643
0.65,1.081955127434838,0.07929170631948054,0.03046714666535772
0.70,1.267724486264369,0.09011152559050348,0.031665635722392456
0.75,1.3994008396833988,0.09881257856423015,0.038521212412740424
0.8,11.846868278644465,0.805370146117388,0.32204594581455476
0.85,14.079971767527697,0.956386280882664,0.28649878827652875
0.9,2.798125797315405,0.19516575483841997,0.09221957431282578
0.95,15.364959381804933,1.1659345116333095,0.6344186906127945
1.0,14.375377200271132,0.9620923649918272,0.49550022111749426
