,RMSE,NRMSE,MAPE
0.05,0.8144694186476397,0.05749354765435076,0.022691387914246117
0.1,0.8181228731578143,0.07481498348464687,0.02229957198508906
0.15,0.5062117730399963,0.034013082298150976,0.012485331078016571
0.2,0.7080059260244852,0.06068045437929341,0.019330076079435043
0.25,0.5499981551902196,0.03678931177070753,0.014959572731812656
0.30,0.4248601563482975,0.031066855871455912,0.010160713024812487
0.35,0.8793934945646039,0.060271651891300376,0.019773401778992394
0.4,0.40696083273272554,0.02718221275208768,0.010255068692587015
0.45,0.7352061686483568,0.07285589411436222,0.023447764922222416
0.5,0.859997400563864,0.05521241494878233,0.021403636666026342
0.55,0.520480002620376,0.036162479437522044,0.014152186815307655
0.60,0.6014809470326072,0.043341950806435235,0.016754241310577733
0.65,0.563793263299964,0.03880368524639467,0.013291701166501845
0.70,0.7330664841804129,0.05003941095412267,0.020700592416674407
0.75,3.8841469226745993,0.2698904705245793,0.09756060747592422
0.8,1.1677475145810587,0.09087467351361733,0.03037603190495647
0.85,0.9446636408800304,0.0765192892164583,0.026946720362900266
0.9,1.220278820104312,0.12019936775150791,0.03394235047335104
0.95,2.8278573159030045,0.22748544499976617,0.08170800488672958
1.0,1.0817245789008885,0.09489743862140382,0.025987671020879163
