,Traj_1,Traj_2,Coupled_1,Coupled_2
0.9,0.6738225957317748,0.8783684105242588,0.23347406189940215,0.24054454415645146
0.91,0.7575009685111244,0.8783684105242588,0.11613316420427634,0.15457758996579588
0.92,0.6288911745883856,0.8783684105242588,0.201144025776986,0.17172517554593622
0.93,0.6508575637876396,0.8783684105242588,0.165660848045651,0.15093703933481833
0.94,0.847574756719215,0.8783684105242588,0.10449264412448928,0.10095663943258629
0.95,0.7575009685111244,0.8783684105242588,0.1528890580591551,0.1309811023294368
0.96,0.7575009685111244,0.8783684105242588,0.006529087140495442,0.002890651577528689
0.97,0.5919178341384317,0.8783684105242588,0.22984809278279691,0.23768354054616525
0.98,0.851506774338453,0.8783684105242588,0.236286638647101,0.22720585158540407
0.99,0.8051818821994158,0.8783684105242588,0.20592952583896293,0.1929346002891386
1.0,0.7575009685111244,0.8783684105242588,0.23192690972523564,0.2413874519389709
