,RMSE,NRMSE,MAPE
0,0.6624591152835018,0.05332908193415134,0.022082019468420692
1,0.3210817608978842,0.02841779971928246,0.008718969488409228
2,0.28307824345839533,0.02442305890187807,0.008159724363155927
3,0.41427806690557006,0.03502244118609358,0.011577151720887276
4,0.6482348054688791,0.05124984515881599,0.016215412888405972
5,0.8327374881626004,0.10183881866097945,0.028496404281507737
6,0.36356390333099764,0.0285318276926549,0.010642497987617284
7,0.7185537728729381,0.04788566511491682,0.018118105629490233
8,0.5705347677246462,0.03930061690432181,0.016089226864673185
9,0.5680047236937926,0.04082350666594178,0.016381251416586775
10,0.48402473168587207,0.039950073513168774,0.012234235726693639
