,RMSE,NRMSE,MAPE
25,0.2729020677381139,0.01948731433951216,0.0052181471754643265
50,0.7796896913851192,0.05633497281406591,0.015077983303866546
75,0.3945899969001075,0.026796335951925446,0.007900746192384248
100,3.4629004956540084,0.23428926183258952,0.07906832249552229
125,4.320487921546674,0.28942458861165316,0.07722473888172923
150,6.17930873532203,0.42854325049202413,0.0808745852190218
175,6.801950390679501,0.4606442235057929,0.1420626423973102
200,2.2491261033501835,0.16759301034525115,0.054709984093488276
