,Traj_1,Traj_2,Coupled_1,Coupled_2
0.9,1.0578907223099683,0.997241153275781,0.9691086783303525,0.9672719635768551
0.91,0.9987157078073018,0.997241153275781,0.9400249552181085,1.0430758662524133
0.92,1.0578907223099683,0.997241153275781,0.9897603937875772,0.9917289050167571
0.93,1.0578907223099683,0.997241153275781,0.9403025853876508,0.9391423435677155
0.94,1.0578907223099683,0.997241153275781,0.9675242737972088,0.9545104830617456
0.95,1.0386418368519186,0.997241153275781,0.9872395515415383,1.0047973696521084
0.96,1.0122961212018033,0.997241153275781,0.6315428122269249,0.6846631050294856
0.97,1.0578907223099683,0.997241153275781,0.0031023554890792764,-0.01057651832920411
0.98,1.0578907223099683,0.997241153275781,0.10642358532152411,0.11015254432241219
0.99,0.9807462778332823,0.997241153275781,-0.0039022496603567393,0.0062281092533045855
1.0,1.0578907223099683,0.997241153275781,-0.004135115146243493,-0.0059917957024992
