,RMSE,NRMSE,MAPE
0,0.23150918457301192,0.016039015318631958,0.004482350557059669
1,0.14503177966458908,0.009992123023865233,0.003494687676888662
2,0.18239840258959733,0.012525662300910071,0.0039042981803662988
3,0.13622361419301654,0.00918908666794719,0.0030198405910168606
4,0.151238282825023,0.010453859930198666,0.0030764486623200667
5,0.1693880625168882,0.011538306362264779,0.0031585897910160633
6,0.32587025730026076,0.02282141597962615,0.005734424194974005
7,0.22718703091278958,0.016602118531318932,0.00452776009056989
8,0.11585674907003726,0.00984063509058087,0.0029306979709298403
9,0.285125332592767,0.020772376635512922,0.0052949713659730235
10,,,
