,0.0,0.1,0.2,0.30000000000000004,0.4,0.5
0.9,3.621025239432344e-05,0.0959630403879728,0.44460408617887437,0.3835311451520255,0.6935492172360984,0.5285240063197799
0.91,4.610312960278125e-05,0.11471702934923053,0.33585915726147314,0.5144805433446328,0.6517042181213872,0.6912377621578516
0.92,2.9311105728999507e-05,0.13085628561540202,0.34246149172353574,0.6231363468529973,0.6820906299119761,0.866887799552141
0.93,5.594724700272706e-05,0.25658586053754195,0.3562589609200054,0.6564130235198629,0.701959278645886,1.0107487425940893
0.9400000000000001,2.862010688285727e-05,0.17756133950662045,0.540124915148721,0.8120504026529215,1.1603890491889626,1.1060988833473218
0.95,2.4159250566568935e-05,0.2289616018180683,0.6972114903972,1.0203947422219006,1.1687554319170108,1.317475711665546
0.96,0.00028543273784775887,0.47630481539383673,0.7119279565040464,1.1090777251397443,1.241147068670681,1.5453434629101417
0.97,0.20278509561272823,1.0000388313907287,1.4722828119354772,1.599664681860832,1.7639657250254541,1.8210903709013504
0.98,1.9806991531273437,1.9802346211498036,1.9795604617424207,1.9778013970258257,1.976483316544428,1.9745004378796498
0.99,1.9721188119773492,1.971973938638785,1.9717537892961678,1.9712351654226825,1.9708344521602437,1.9700599876095692
1.0,1.9774091458623873,1.9774773754312878,1.977525695852862,1.977500495129302,1.9773468535071257,1.9772267009481654
